Airl.Desig,FltNo,ArrDep,Date LT,Time LT,ORIGDEST,PREVNEXT,Serv.type,ICAO ActType,IATA ActType,Seats,Season
2F,5100,D,07-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,08-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,10-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,11-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,12-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,13-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,14-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,15-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,17-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,18-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,19-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,20-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,21-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,22-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,24-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,25-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,26-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,27-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,28-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,29-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,31-Aug-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,01-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,02-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,03-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,04-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,05-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,07-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,08-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,09-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,10-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,11-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,12-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,14-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
2F,5100,D,15-Sep-2025,1505,JMR,JMR,C,C208,208,9,S25
